BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PM25,PXY,SO_2,TCH,TOL,NO,CH4
0,77976.8503469303,0,0,0,8171794.18074459,10816927.9415709,0,2765911.09938794,2312518.00994033,0,0,1426864.79998887,0,0,2555445,0
118482.110277526,70118.470346652,158381.620158784,0,20626669.9943449,8576761.51011038,10096131.3903828,0,4871782.46971549,3855523.30007488,921177.650007904,0,1509666.19989598,172081.139916003,695269600.174921,2105502,7212839.96582031
106464.430009641,42575.8499693722,59173.6801779941,0,15364889.997799,7571868.3799243,9094063.17973089,0,3089879.89993742,2245783.51998645,0,0,1133249.30001557,106115.04998954,315454229.982935,1716850,0
0,58135.6303827595,0,0,0,6477218.07053706,7002777.82041991,0,6732621.0797106,2008152.62985766,0,0,821213.510030016,0,0,1215895,0
0,28252.6199860293,0,0,0,5223879.00964797,5987481.42008543,0,4495197.40007007,1522284.20030093,0,0,830687.45998764,0,0,2414323,0
29774.7602557987,72137.6403323915,31849.5201876685,0,7431329.99417186,6499432.64031959,7367540.41147196,0,6493543.609983,3713170.76000613,0,0,1174956.60024212,48013.5899966657,150998800.118431,1320416,0
87384.7501963303,53068.7602478452,103914.620104402,124644.349955112,24340829.9830966,4347701.95965577,4477807.39944708,79641.7399524152,7774802.71023041,3355379.22020262,1292701.2299861,70069.809973225,880426.769849747,200035.969914434,342534100.142606,629151,5749750.02765283
13252.2200396284,0,44811.9600067213,0,13874339.9968259,5508216.60047129,5814997.63096868,0,3563745.19016367,1816454.90977991,0,0,443385.680074241,134382.230119467,86075779.9844965,1168878,0
106936.229997739,61012.3203745242,128914.089978859,299818.920041114,8016020.00138722,6508338.76941919,7832055.03085947,138043.110016808,4085317.98921227,1829887.75048795,0,132615.150001183,1046199.91005451,65871.5100066811,594562149.959609,1674029,0
0,65956.020305641,0,0,0,7120348.52004188,8200133.19998133,0,2814232.5301756,3893128.85042304,0,0,1579247.06002203,0,0,1379707,0
43899.6202016696,58243.2199679483,53048.8802051172,0,0,8021753.99035072,9815846.57928681,0,3116949.88981223,4124853.79958022,1554158.29995105,0,1607281.82027757,0,259687670.028336,1983492,0
0,69529.8103334699,0,0,0,7131508.39065558,8482589.74018657,0,6548866.86040455,2600448.12002641,0,0,631997.060134649,0,0,2017253,0
0,37915.5299648177,0,0,5779219.99734081,6342207.48935401,6525734.43031359,0,3308479.26986623,3802755.86040592,0,0,1090921.49002385,42534.3599988967,0,1120878,0
0,0,0,0,0,2916274.17020464,1127298.23034382,0,0,1505261.00987577,828995.269951642,0,0,0,0,1520775,0
0,0,0,0,0,2802729.10002279,791374.190004349,0,0,1366306.02996004,669016.040018618,0,0,0,0,1138088,0
0,0,0,0,0,2319486.65005743,760215.199758291,0,3382431.13997626,0,0,0,0,0,0,867304,0
0,0,0,0,0,3252685.21010494,1089571.33974838,0,0,1383310.94009936,719589.22996074,0,0,0,0,1819924,0
0,0,0,0,0,2661857.29011011,1076081.40017033,0,3752595.99031639,0,0,0,0,0,0,1551754,0
35037.6302285492,0,34478.4602037296,0,16376819.9847117,3109950.88003474,1092908.27984738,0,0,1467980.66000837,0,0,0,103983.239960194,137230680.088885,1533759,6355020.0150013
0,30211.3703705072,0,0,0,4174035.12988186,1729559.81975174,0,2906323.93990374,50501,29280,0,0,0,0,3020510,0
0,22874.9004372507,0,0,0,2608533.29992312,916882.889898896,0,0,1423972.80001974,0,0,559937.749988079,0,0,1100121,0
0,0,0,0,5443650.00440925,1360288.50991523,452880.97985816,0,3934781.26007891,0,0,0,0,30528.120031476,0,366982,0
0,0,0,0,0,1746964.76000166,678179.190035343,0,3995738.67017758,0,0,0,0,0,0,782918,0
0,0,0,0,0,2502921.0999465,785704.42978859,0,3976076.02012992,1339262.40006775,0,0,0,0,0,913691,0
