station,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PM25,PXY,SO_2,TCH,TOL,NO,CH4,lon,lat,elevation
28079004,0.0,77976.85034693033,0.0,0.0,0.0,8171794.180744588,10816927.941570878,0.0,2765911.0993879363,2312518.009940326,0.0,0.0,1426864.7999888659,0.0,0.0,2555445.0,0.0,-563430.0343980909,6135370.679202977,96377760
28079008,118482.11027752608,70118.47034665197,158381.6201587841,0.0,20626669.994344935,8576761.510110378,10096131.390382767,0.0,4871782.469715489,3855523.3000748754,921177.6500079036,0.0,1509666.199895978,172081.13991600275,695269600.1749213,2105502.0,7212839.9658203125,-514081.2529994812,5643173.691401504,93537360
28079011,106464.43000964075,42575.84996937215,59173.68017799407,0.0,15364889.99779895,7571868.379924297,9094063.179730892,0.0,3089879.899937421,2245783.5199864507,0.0,0.0,1133249.3000155687,106115.04998954013,315454229.9829349,1716850.0,0.0,-558399.0864023438,6142475.575801321,107508384
28079016,0.0,58135.6303827595,0.0,0.0,0.0,6477218.0705370605,7002777.820419908,0.0,6732621.079710603,2008152.6298576593,0.0,0.0,821213.5100300163,0.0,0.0,1215895.0,0.0,-552348.2784004537,6137828.607195619,105180768
28079017,0.0,28252.61998602934,0.0,0.0,0.0,5223879.009647965,5987481.42008543,0.0,4495197.400070071,1522284.200300932,0.0,0.0,830687.4599876404,0.0,0.0,2414323.0,0.0,-425279.3674674633,4620877.122658379,69174912
28079018,29774.760255798697,72137.64033239149,31849.520187668502,0.0,7431329.994171858,6499432.640319586,7367540.411471963,0.0,6493543.609982997,3713170.7600061297,0.0,0.0,1174956.600242123,48013.589996665716,150998800.11843145,1320416.0,0.0,-558882.2719989339,6049522.336016252,94348800
28079024,87384.75019633025,53068.7602478452,103914.6201044023,124644.34995511174,24340829.98309657,4347701.959655769,4477807.3994470835,79641.73995241523,7774802.710230408,3355379.220202625,1292701.2299861014,70069.809973225,880426.7698497474,200035.96991443448,342534100.1426056,629151.0,5749750.02765283,-567408.3270005829,6120137.140791186,97209072
28079027,13252.220039628446,0.0,44811.96000672132,0.0,13874339.996825904,5508216.60047129,5814997.630968677,0.0,3563745.190163672,1816454.9097799063,0.0,0.0,443385.680074241,134382.23011946678,86075779.98449653,1168878.0,0.0,-481070.1859324511,5439127.647063427,83447496
28079035,106936.2299977392,61012.32037452422,128914.08997885883,299818.9200411141,8016020.001387224,6508338.769419193,7832055.03085947,138043.1100168079,4085317.9892122746,1829887.7504879534,0.0,132615.15000118315,1046199.9100545049,65871.51000668108,594562149.9596089,1674029.0,0.0,-428294.08653408475,4674723.95899758,76217304
28079036,0.0,65956.020305641,0.0,0.0,0.0,7120348.520041883,8200133.199981332,0.0,2814232.5301755965,3893128.850423038,0.0,0.0,1579247.0600220263,0.0,0.0,1379707.0,0.0,-550645.2759990562,6103862.87558011,103473360
28079038,43899.62020166963,58243.21996794827,53048.880205117166,0.0,0.0,8021753.990350723,9815846.579286814,0.0,3116949.889812231,4124853.7995802164,1554158.2999510467,0.0,1607281.8202775717,0.0,259687670.02833635,1983492.0,0.0,-562653.0256010395,6138662.953583852,105939648
28079039,0.0,69529.81033346988,0.0,0.0,0.0,7131508.390655577,8482589.740186572,0.0,6548866.860404551,2600448.1200264096,0.0,0.0,631997.0601346493,0.0,0.0,2017253.0,0.0,-552366.4769989846,6024131.770790168,100307376
28079040,0.0,37915.52996481769,0.0,0.0,5779219.997340813,6342207.489354014,6525734.430313587,0.0,3308479.269866228,3802755.860405922,0.0,0.0,1090921.4900238514,42534.35999889672,0.0,1120878.0,0.0,-553599.9810650114,6123167.066344071,102638616
28079047,0.0,0.0,0.0,0.0,0.0,2916274.1702046394,1127298.2303438187,0.0,0.0,1505261.0098757744,828995.2699516416,0.0,0.0,0.0,0.0,1520775.0,0.0,-270141.0414002998,2960050.6008634926,43889928
28079048,0.0,0.0,0.0,0.0,0.0,2802729.100022793,791374.1900043488,0.0,0.0,1366306.0299600363,669016.0400186181,0.0,0.0,0.0,0.0,1138088.0,0.0,-255698.1256002779,2801999.5987366927,46838688
28079049,0.0,0.0,0.0,0.0,0.0,2319486.650057435,760215.1997582912,0.0,3382431.139976263,0.0,0.0,0.0,0.0,0.0,0.0,867304.0,0.0,-268858.04400026076,2950577.759996642,48331296
28079050,0.0,0.0,0.0,0.0,0.0,3252685.2101049423,1089571.3397483826,0.0,0.0,1383310.9400993586,719589.2299607396,0.0,0.0,0.0,0.0,1819924.0,0.0,-263289.6078666897,2888270.6829296267,51961728
28079054,0.0,0.0,0.0,0.0,0.0,2661857.2901101112,1076081.4001703262,0.0,3752595.990316391,0.0,0.0,0.0,0.0,0.0,0.0,1551754.0,0.0,-265533.92039968685,2967895.075197905,46092024
28079055,35037.63022854924,0.0,34478.46020372957,0.0,16376819.984711707,3109950.8800347447,1092908.2798473835,0.0,0.0,1467980.6600083709,0.0,0.0,0.0,103983.23996019363,137230680.08888513,1533759.0,6355020.015001297,-259790.37246614712,2935637.516871899,44837136
28079056,0.0,30211.37037050724,0.0,0.0,0.0,4174035.129881859,1729559.8197517395,0.0,2906323.939903736,50501.0,29280.0,0.0,0.0,0.0,0.0,3020510.0,0.0,-268730.14413317473,2918379.0304631484,43647456
28079057,0.0,22874.900437250733,0.0,0.0,0.0,2608533.299923122,916882.8898988962,0.0,0.0,1423972.800019741,0.0,0.0,559937.7499880791,0.0,0.0,1100121.0,0.0,-269617.99260034383,2982641.4090039097,51559200
28079058,0.0,0.0,0.0,0.0,5443650.004409254,1360288.5099152327,452880.97985816,0.0,3934781.260078907,0.0,0.0,0.0,0.0,30528.12003147602,0.0,366982.0,0.0,-278203.93733342167,2986342.97140377,45327960
28079059,0.0,0.0,0.0,0.0,0.0,1746964.7600016594,678179.1900353432,0.0,3995738.670177579,0.0,0.0,0.0,0.0,0.0,0.0,782918.0,0.0,-264530.55760033685,2965940.9639950623,48375360
28079060,0.0,0.0,0.0,0.0,0.0,2502921.099946499,785704.4297885895,0.0,3976076.020129919,1339262.4000677466,0.0,0.0,0.0,0.0,0.0,913691.0,0.0,-265839.90853303816,2917986.4282670156,51514320
